Multiple factor analysis: principal,,
component analysis for multitable,,
and multiblock data sets,,
"Herve‚ Abdi1, Lynne J. Williams2 and Domininique Valentin3",,
"Page 15, Figure (65), common factor scores (F Matrix)",,
,,original data (copy paste)
-0.98, 0.163,-0.980 0.163
-0.81, 0.033,-0.809 0.033
-0.76,-0.45,-0.761 -0.454
-1.12,-0.17,-1.115 -0.166
1.373 ,-0.13,1.373 -0.128
1.264 ,-0.11,1.264 -0.108
0.808 , 0.205,0.808 0.205
0.925 , 0.408,0.925 0.408
-0.67, 0.369,-0.669 0.369
0.073 ,-0.76,0.073 -0.757
-0.48, 0.513,-0.476 0.513
0.367 ,-0.08,0.367 -0.076
